Header,internal_code
tr|A0A1W1V8Q8|A0A1W1V8Q8_9PAST,neuS_41
tr|A0A1X9SZS1|A0A1X9SZS1_9BACT,neuS_42
tr|A0A2A3LPY7|A0A2A3LPY7_NEIME,neuS_43
tr|A0A2A4N8A4|A0A2A4N8A4_9BACT,neuS_44
tr|A0A2A4VE14|A0A2A4VE14_9GAMM,neuS_45
tr|A0A2C6CKT1|A0A2C6CKT1_FUSNP,neuS_46
tr|A0A2N7MHS9|A0A2N7MHS9_VIBSP,neuS_47
tr|A0A2T3JFV9|A0A2T3JFV9_PHOPO,neuS_48
tr|A0A2T3KUX3|A0A2T3KUX3_PHOLD,neuS_49
tr|A0A2U9LH64|A0A2U9LH64_ECOLX,neuS_50
tr|A0A358R6G2|A0A358R6G2_9BACT,neuS_51
tr|A0A358WBI0|A0A358WBI0_9FIRM,neuS_52
tr|A0A378VS84|A0A378VS84_NEIME,neuS_53
tr|A0A3A4ZBG3|A0A3A4ZBG3_9BACT,neuS_54
tr|A0A414D4G5|A0A414D4G5_9FIRM,neuS_55
tr|A0A415M797|A0A415M797_9FIRM,neuS_56
tr|A0A415P7L6|A0A415P7L6_9FIRM,neuS_57
tr|A0A420XGN6|A0A420XGN6_9PAST,neuS_58
tr|A0A4Q4IAM5|A0A4Q4IAM5_ECOLX,neuS_59
tr|A0A4R2N313|A0A4R2N313_9PAST,neuS_60
tr|A0A4U9RR80|A0A4U9RR80_HATHI,neuS_61
tr|A0A5B8IKL0|A0A5B8IKL0_9MICC,neuS_62
tr|A0A5Q3RZA7|A0A5Q3RZA7_9NEIS,neuS_63
tr|A0A6C9K7H7|A0A6C9K7H7_ECOLX,neuS_64
tr|A0A6L9ABT0|A0A6L9ABT0_ECOLX,neuS_65
tr|A0A768M033|A0A768M033_ECOLX,neuS_66
tr|A0A7C9LDD0|A0A7C9LDD0_9FIRM,neuS_67
tr|A0A7W7F385|A0A7W7F385_9BACT,neuS_68
tr|A0A7X2NYX8|A0A7X2NYX8_9RHOB,neuS_69
tr|A0A8E7IL75|A0A8E7IL75_NEIME,neuS_70
tr|A0A8E7IPB8|A0A8E7IPB8_NEIME,neuS_71
tr|A0A8E7MDY9|A0A8E7MDY9_NEIME,neuS_72
tr|A0A8E7MFG4|A0A8E7MFG4_NEIME,neuS_73
tr|A0A8H9TDQ0|A0A8H9TDQ0_PSEAS,neuS_74
tr|A0A8X8NX87|A0A8X8NX87_9VIBR,neuS_75
tr|A0A942XW88|A0A942XW88_9BACT,neuS_76
tr|A0A948B2B3|A0A948B2B3_UNCVE,neuS_77
tr|A0A949N941|A0A949N941_9ACTN,neuS_78
tr|A0A951P0D1|A0A951P0D1_9CYAN,neuS_79
tr|A0A975LZV6|A0A975LZV6_9BACT,neuS_80
tr|A0A975Y9T6|A0A975Y9T6_9ACTN,neuS_81
tr|A0A9D1PBJ4|A0A9D1PBJ4_9FIRM,neuS_82
tr|A0A9D1VMD7|A0A9D1VMD7_9FIRM,neuS_83
tr|A0A9D1YBU4|A0A9D1YBU4_9FIRM,neuS_84
tr|A0A9D2C0Z9|A0A9D2C0Z9_UNCFI,neuS_85
tr|A0A9D2NUD8|A0A9D2NUD8_9FIRM,neuS_86
tr|A0A9D2PHP7|A0A9D2PHP7_9FIRM,neuS_87
tr|A0A9D2TYQ0|A0A9D2TYQ0_9FIRM,neuS_88
tr|A0A9D2U4Q7|A0A9D2U4Q7_9FIRM,neuS_89
tr|A0A9D2ZXR6|A0A9D2ZXR6_BREEP,neuS_90
tr|A0A9E8ART7|A0A9E8ART7_9MICO,neuS_91
tr|A0A9E8UVI9|A0A9E8UVI9_9ACTN,neuS_92
tr|A0A9K2KM67|A0A9K2KM67_NEIM8,neuS_93
tr|A0A9Q3VMG7|A0A9Q3VMG7_9ACTN,neuS_94
tr|A0A9W5ATC0|A0A9W5ATC0_CAMHY,neuS_95
tr|A0A9X1PZ62|A0A9X1PZ62_STRM4,neuS_96
tr|A0A9X1Q2I4|A0A9X1Q2I4_STRM4,neuS_97
tr|A0A9X1SEV0|A0A9X1SEV0_9BACT,neuS_98
tr|A0A9X2AQM2|A0A9X2AQM2_9PSED,neuS_99
tr|A0A9X2EQG3|A0A9X2EQG3_9GAMM,neuS_100
tr|A0A9X2LTJ5|A0A9X2LTJ5_9ACTN,neuS_101
tr|A0A9X2RK15|A0A9X2RK15_9ACTN,neuS_102
tr|A0A9X2WC65|A0A9X2WC65_9GAMM,neuS_103
tr|A0A9X3EF05|A0A9X3EF05_9GAMM,neuS_104
tr|A0A9X3JEM2|A0A9X3JEM2_9LACT,neuS_105
tr|A0A9X3K645|A0A9X3K645_9FLAO,neuS_106
tr|A0A9X4K1Q1|A0A9X4K1Q1_9GAMM,neuS_107
tr|A0AA42G8W1|A0AA42G8W1_ACIJO,neuS_108
tr|A0AA43E526|A0AA43E526_9MICO,neuS_109
tr|A0AA43G210|A0AA43G210_VIBSP,neuS_110
tr|A0AA46MPT2|A0AA46MPT2_9ACTN,neuS_111
tr|A0AA46ZHH9|A0AA46ZHH9_9ACTN,neuS_112
tr|A0AA50ATG9|A0AA50ATG9_9ACTN,neuS_113
tr|A0AA50BL23|A0AA50BL23_9ACTN,neuS_114
tr|A0AA50C040|A0AA50C040_9ACTN,neuS_115
tr|A0AA50GHS4|A0AA50GHS4_9ACTN,neuS_116
tr|A0AA50L5C2|A0AA50L5C2_9ACTN,neuS_117
tr|A0AA51D0T3|A0AA51D0T3_9BACT,neuS_118
tr|A0AA51MDU1|A0AA51MDU1_9ACTN,neuS_119
tr|A0AA51MH10|A0AA51MH10_9ACTN,neuS_120
tr|A0AA51N920|A0AA51N920_9BACT,neuS_121
tr|A0AA52EJP0|A0AA52EJP0_9ACTN,neuS_122
tr|A0AA52ENJ4|A0AA52ENJ4_9ACTN,neuS_123
tr|A0AA52FCY1|A0AA52FCY1_9ACTN,neuS_124
tr|A0AA86MH48|A0AA86MH48_9BACT,neuS_125
tr|A0AA90DM14|A0AA90DM14_9ACTN,neuS_126
tr|A0AA90FEL4|A0AA90FEL4_BACFG,neuS_127
tr|A0AA90HAR7|A0AA90HAR7_9ACTN,neuS_128
tr|A0AA95JMA9|A0AA95JMA9_MICSX,neuS_129
tr|A0AA96JF54|A0AA96JF54_9ACTN,neuS_130
tr|A0AA96MX83|A0AA96MX83_9BACI,neuS_131
tr|A0AA96W0H8|A0AA96W0H8_9ACTN,neuS_132
tr|A0AA96WPZ6|A0AA96WPZ6_LEPBY,neuS_133
tr|A0AA97AQ48|A0AA97AQ48_LEPBY,neuS_134
tr|A1KR99|A1KR99_NEIMF,neuS_135
tr|A5TVH1|A5TVH1_FUSNP,neuS_136
tr|B1IK20|B1IK20_CLOBK,neuS_137
tr|B1KXZ3|B1KXZ3_CLOBM,neuS_138
tr|C0FY09|C0FY09_9FIRM,neuS_139
tr|C1FU80|C1FU80_CLOBJ,neuS_140
tr|C5ZW53|C5ZW53_9HELI,neuS_141
tr|Q8VRL9|Q8VRL9_NEIME,neuS_142
tr|W4P8C8|W4P8C8_9BACE,neuS_143
